SalesDate,Quantity
2016-01-04,2
2016-01-11,3
2016-01-18,2
2016-01-25,2
2016-02-01,3
2016-02-08,2
2016-02-15,3
2016-02-22,3
2016-02-29,1
2016-03-07,4
2016-03-14,2
2016-03-21,7
2016-03-28,1
2016-04-03,2
2016-04-11,7
2016-04-18,3
2016-04-25,2
2016-05-09,1
2016-05-16,2
2016-05-30,3
2016-06-06,1
2016-06-12,1
2016-06-20,2
2016-06-27,2
2016-07-03,4
2016-07-11,5
2016-07-18,6
2016-07-25,2
2016-08-01,4
2016-08-07,4
2016-08-22,2
2016-08-29,2
2016-09-05,4
2016-09-12,7
2016-09-19,4
2016-09-26,13
2016-10-03,4
2016-10-10,4
2016-10-17,3
2016-10-24,8
2016-10-31,5
2016-11-07,2
2016-11-14,3
2016-11-21,7
2016-11-28,2
2016-12-05,7
2016-12-12,3
2016-12-19,5
2016-12-26,7
2017-01-01,6
2017-01-09,1
2017-01-16,8
2017-01-23,8
2017-01-30,5
2017-02-06,2
2017-02-13,1
2017-02-20,4
2017-02-27,5
2017-03-06,5
2017-03-13,3
2017-03-20,3
2017-03-27,2
2017-04-03,2
2017-04-09,6
2017-04-17,4
2017-04-24,1
2017-05-01,2
2017-05-08,2
2017-05-29,1
2017-06-05,1
2017-07-10,1
2017-07-17,1
2017-07-24,1
2017-07-31,1
2017-08-14,1
2017-08-21,1
2017-09-04,4
2017-09-11,4
2017-09-17,3
2017-09-25,2
2017-10-02,1
2017-10-09,1
2017-10-23,1
2017-10-30,3
2017-11-06,2
2017-11-20,1
2017-11-27,2
2017-12-04,1
2017-12-11,2
2017-12-25,1
